id,name,year,classification,runtime,genres,budget,opening_weekend,gross_na,gross_g,release_date,gross_tw,gross_cn,gross_hk,gross_my,gross_sg,gross_xndom
tt4776998,The Promise (II) (2016),(II),PG-13,133min,"Drama,History","$90,000,000","$4,095,718","$8,224,288","$12,448,676",Release Date: 21 April 2017 (USA),0,0,0,0,"9,448","4,224,388"
tt2461150,Masterminds (I) (2016),(I),PG-13,95min,"Action,Biography,Comedy","$25,000,000","$6,541,205","$17,368,022","$29,674,699",Release Date: 16 December 2016 (Taiwan),0,0,0,0,0,"12,306,677"
tt4624424,Storks (2016),(2016),PG,87min,"Animation,Adventure,Comedy","$70,000,000","$21,311,407","$72,679,278","$183,388,953",Release Date: 7 October 2016 (Taiwan),0,"11,461,078","352,000",0,0,"110,709,675"
tt3416532,A Monster Calls (2016),(2016),PG-13,108min,"Animation,Drama,Fantasy","$43,000,000","$30,909","$3,740,823","$47,309,313",Release Date: 4 November 2016 (Taiwan),"291,555","2,109,658","181,010","120,980","127,889","43,568,490"
tt2671706,Fences (2016),(2016),PG-13,139min,Drama,"$24,000,000","$129,462","$57,682,904","$64,414,761",Release Date: 25 December 2016 (USA),0,0,0,0,0,"6,731,857"
tt4680182,Colossal (2016),(2016),R,109min,"Comedy,Drama,Fantasy","$15,000,000","$120,226","$3,029,287","$4,531,320",Release Date: 21 April 2017 (Taiwan),0,0,0,0,0,"1,502,033"
tt5074352,Dangal (2016),(2016),NotRated,161min,"Action,Biography,Drama","रू700,000,000","$3,248,481","$12,391,761","$302,895,451",Release Date: 24 March 2017 (Taiwan),"5,441,690","193,050,870","3,350,290",0,0,"290,503,690"
tt2547584,The Light Between Oceans (2016),(2016),PG-13,133min,"Drama,Romance","$20,000,000","$4,765,838","$12,545,979","$25,975,621",Release Date: 7 October 2016 (Taiwan),"153,194",0,"33,174",0,"7,175","13,429,642"
tt2361317,Live by Night (2016),(2016),R,129min,"Action,Crime,Drama","$108,000,000","$33,336","$10,378,555","$22,678,555",Release Date: 13 January 2017 (Taiwan),"412,000",0,0,0,0,"12,300,000"
tt1473832,Bridget Jones's Baby (2016),(2016),R,123min,"Comedy,Drama,Romance","$35,000,000","$8,571,785","$24,252,420","$211,952,420",Release Date: 16 September 2016 (Taiwan),"686,000","746,833","1,043,506","91,820","489,315","187,700,000"
tt4158096,Free Fire (2016),(2016),R,91min,"Action,Comedy,Crime","£5,500,000","$994,431","$1,799,312","$3,719,383",Release Date: 26 May 2017 (Taiwan),0,0,0,0,0,"1,920,071"
tt4291600,Lady Macbeth (2016),(2016),R,89min,"Drama,Romance",,"$64,537","$1,129,408","$5,401,447",Release Date: 28 April 2017 (UK),0,0,0,0,0,"4,272,039"
tt4302938,Kubo and the Two Strings (2016),(2016),PG,101min,"Animation,Action,Adventure","$60,000,000","$12,608,372","$48,023,088","$69,929,545",Release Date: 18 August 2016 (Taiwan),"211,028","6,372,757","141,000","356,745","469,823","21,906,457"
tt2638144,Ben-Hur (2016),(2016),PG-13,123min,"Action,Adventure,Drama","$100,000,000","$11,203,815","$26,410,477","$94,061,311",Release Date: 18 August 2016 (Taiwan),"878,086","2,573,312","552,304","725,786","523,527","67,650,834"
tt4443658,Better Watch Out (II) (2016),(II),R,89min,"Comedy,Crime,Horror",,"$12,569","$20,369","$176,288",Release Date: 6 October 2017 (USA),0,0,0,0,0,"155,919"
tt1082807,The Belko Experiment (2016),(2016),R,89min,"Horror,Thriller","$5,000,000","$4,137,230","$10,166,820","$11,084,630",Release Date: 7 April 2017 (Taiwan),0,0,0,0,0,"917,810"
tt2261287,Leap! (2016),(2016),PG,89min,"Animation,Adventure,Comedy","$30,000,000","$181,091","$24,702,560","$148,778,521",Release Date: 28 July 2017 (Taiwan),"47,357","5,770,423","336,139","41,818","48,206","124,075,961"
tt4486986,All I See Is You (2016),(2016),R,109min,"Drama,Mystery,Romance","$30,000,000","$144,076","$217,644","$678,150",Release Date: 27 October 2017 (USA),0,0,0,0,0,"460,506"
